City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,78.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
3,Padang,ID,77.0,scattered clouds,-0.9492,100.3543,Mercure Padang
5,Antofagasta,CL,62.6,broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
8,Boca Do Acre,BR,70.45,moderate rain,-8.7522,-67.3978,Hotel Sao Pedro
9,Buchanan,LR,78.8,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
12,Port Alfred,ZA,69.44,overcast clouds,-33.5906,26.891,The Halyards Hotel
13,Arraial Do Cabo,BR,76.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
16,Hualmay,PE,69.03,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
17,Rikitea,PF,79.03,clear sky,-23.1203,-134.9692,Pension Maro'i
28,Namibe,AO,78.84,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
36,Cape Town,ZA,64.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
39,Qinzhou,CN,72.34,light rain,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
41,Ribeira Grande,PT,62.2,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
43,Albany,US,73.4,broken clouds,42.6001,-73.9662,
45,Jamestown,US,71.6,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Ikorodu,NG,75.2,few clouds,6.6191,3.5041,Ibisun Hotel & Suites
51,Sakaraha,MG,67.59,clear sky,-22.9,44.5333,Le Relais
52,Avanigadda,IN,77.86,clear sky,16.0215,80.9181,AP Camping
54,Upington,ZA,71.6,clear sky,-28.4478,21.2561,River Place Manor
56,Mataura,NZ,60.01,light rain,-46.1927,168.8643,Ellie's Villa
60,San Jose,US,73.0,broken clouds,37.3394,-121.895,The Westin San Jose
65,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
66,Quelimane,MZ,75.2,light rain,-17.8786,36.8883,Hotel Flamingo
70,Ahuimanu,US,78.8,few clouds,21.4447,-157.8378,Paradise Bay Resort
71,Pisco,PE,70.0,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
72,Airai,TL,67.68,overcast clouds,-8.9266,125.4092,Juvinal Martin
73,Naze,JP,68.0,few clouds,28.3667,129.4833,奄美ポートタワーホテル
74,Isangel,VU,79.81,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
75,Tura,IN,71.69,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
78,Oistins,BB,78.8,volcanic ash,13.0667,-59.5333,Butterfly Beach Hotel
81,Udayagiri,IN,68.77,clear sky,20.1333,84.3833,Balaram panda
84,Kutum,SD,70.05,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
87,Puerto Ayora,EC,78.8,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Alghero,IT,60.8,broken clouds,40.5589,8.3181,Villa Las Tronas Hotel & Spa
93,Kailua,US,78.8,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
99,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Mini Hotel Central
100,Sao Filipe,CV,75.69,few clouds,14.8961,-24.4956,Tortuga B&B
106,Mushie,CD,72.75,overcast clouds,-3.0167,16.9,
107,Sao Jose Da Coroa Grande,BR,77.77,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
112,Praia Da Vitoria,PT,61.0,mist,38.7333,-27.0667,Hotel Branco I
115,Chuy,UY,69.24,heavy intensity rain,-33.6971,-53.4616,Nuevo Hotel Plaza
118,Mulki,IN,77.0,few clouds,13.1,74.8,Karnire Camping Ground
119,Bluff,NZ,60.01,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
121,Taft,IR,75.2,scattered clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
122,Vila Franca Do Campo,PT,60.8,mist,37.7167,-25.4333,Pestana Bahia Praia
123,Carnarvon,AU,78.8,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
126,Santa Ana,US,77.0,broken clouds,33.7456,-117.8678,Santa Ana Travel Inn
127,Laurel,US,66.0,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
128,Inyonga,TZ,62.04,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
129,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
133,Puttur,IN,77.0,few clouds,12.7667,75.2167,Hotel Super Tower
140,General Roca,AR,60.8,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
149,Pangkalanbuun,ID,77.56,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
150,Nelson Bay,AU,64.99,broken clouds,-32.7167,152.15,Mantra Nelson Bay
152,Mahbubabad,IN,76.35,few clouds,17.6167,80.0167,Vedansh Residency
154,Castro,BR,60.71,clear sky,-24.7911,-50.0119,CHACARA BAILLY
156,Natal,BR,77.0,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
167,Cidreira,BR,75.11,overcast clouds,-30.1811,-50.2056,Hotel Castelo
168,Cavalcante,BR,69.76,few clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
173,Shelburne,CA,68.0,few clouds,44.0787,-80.2041,The Retreat at the Farm
176,Belmonte,BR,77.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
177,Gualeguay,AR,70.05,overcast clouds,-33.1416,-59.3097,Cabañas Nuestro Refugio
179,Sao Joao Da Barra,BR,74.25,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
180,Palmer,US,68.0,broken clouds,42.1584,-72.3287,Wedgewood Motel
181,Makakilo City,US,78.8,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
182,Mastung,PK,60.75,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
183,Dalbandin,PK,71.1,few clouds,28.8947,64.4101,Sanjrani House
184,Tigzirt,DZ,60.98,overcast clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
189,Gazojak,TM,61.38,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
191,Wahiawa,US,78.8,broken clouds,21.5028,-158.0236,Aloha Wahiawa
194,Bethel,US,66.2,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
199,Merced,US,78.01,few clouds,37.1666,-120.7516,
200,Mandali,IQ,72.54,scattered clouds,33.7499,45.5541,قرئ الشيخ سحاب الندا
201,Bukama,CD,66.72,overcast clouds,-9.2,25.85,
204,Mount Isa,AU,75.2,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
205,Geraldton,AU,73.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
206,North Platte,US,66.0,clear sky,41.1239,-100.7654,Holiday Inn Express & Suites North Platte
