City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,78.8,53,20,8.05,few clouds
1,Hermanus,ZA,-34.4187,19.2345,59.0,93,100,2.95,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,10.4,48,20,9.22,few clouds
3,Padang,ID,-0.9492,100.3543,77.0,94,40,1.14,scattered clouds
4,Ushuaia,AR,-54.8,-68.3,50.0,57,40,5.75,scattered clouds
5,Antofagasta,CL,-23.65,-70.4,62.6,77,75,12.66,broken clouds
6,Luderitz,NA,-26.6481,15.1594,73.54,51,0,8.08,clear sky
7,Butaritari,KI,3.0707,172.7902,82.02,76,99,13.67,overcast clouds
8,Boca Do Acre,BR,-8.7522,-67.3978,70.45,99,98,1.05,moderate rain
9,Buchanan,LR,5.8808,-10.0467,78.8,89,40,6.55,scattered clouds
10,Dzilam Gonzalez,MX,21.2833,-88.9333,83.48,65,13,6.46,few clouds
11,Ridgecrest,US,35.6225,-117.6709,87.01,7,1,10.36,clear sky
12,Port Alfred,ZA,-33.5906,26.891,69.44,89,91,2.26,overcast clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,76.26,65,0,13.73,clear sky
14,Mount Gambier,AU,-37.8333,140.7667,53.6,66,75,21.85,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,48.2,71,40,16.11,scattered clouds
16,Hualmay,PE,-11.0964,-77.6139,69.03,88,55,4.36,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,79.03,71,0,8.9,clear sky
18,Sangar,RU,63.9242,127.4739,13.3,70,100,2.64,overcast clouds
19,Isla Mujeres,MX,21.2311,-86.731,82.4,78,75,12.66,broken clouds
20,Salina Cruz,MX,16.1667,-95.2,82.63,67,0,13.27,clear sky
21,Provideniya,RU,64.3833,-173.3,3.27,79,100,23.4,overcast clouds
22,Severo-Kurilsk,RU,50.6789,156.125,30.81,73,70,23.22,broken clouds
23,Tasiilaq,GL,65.6145,-37.6368,23.0,74,3,3.44,clear sky
24,Baijiantan,CN,45.6333,85.1833,47.57,27,4,8.39,clear sky
25,Ponta Do Sol,PT,32.6667,-17.1,59.0,73,94,1.01,overcast clouds
26,Atbasar,KZ,51.8,68.3333,28.04,91,6,9.55,clear sky
27,Leningradskiy,RU,69.3833,178.4167,-4.81,92,99,2.06,overcast clouds
28,Namibe,AO,-15.1961,12.1522,78.84,70,31,3.29,scattered clouds
29,Manaus,BR,-3.1019,-60.025,84.2,79,40,3.44,scattered clouds
30,Dingle,PH,10.9995,122.6711,81.66,71,58,9.01,broken clouds
31,Upernavik,GL,72.7868,-56.1549,13.71,92,92,6.93,overcast clouds
32,Krasnoselkup,RU,65.7,82.4667,32.77,83,100,8.01,overcast clouds
33,Tourlaville,FR,49.6383,-1.5664,44.01,93,75,10.36,broken clouds
34,Muros,ES,42.7762,-9.0603,53.01,81,99,14.88,overcast clouds
35,Paamiut,GL,61.994,-49.6678,30.67,90,46,8.3,scattered clouds
36,Cape Town,ZA,-33.9258,18.4232,64.0,88,0,10.36,clear sky
37,Saskylakh,RU,71.9167,114.0833,3.33,78,71,11.03,broken clouds
38,Terrace,CA,54.5163,-128.6035,37.4,60,75,11.5,broken clouds
39,Qinzhou,CN,21.95,108.6167,72.34,83,100,10.02,light rain
40,Turukhansk,RU,65.8167,87.9833,32.52,97,100,12.57,light snow
41,Ribeira Grande,PT,38.5167,-28.7,62.2,91,100,18.48,overcast clouds
42,Busselton,AU,-33.65,115.3333,59.0,91,100,1.99,light rain
43,Albany,US,42.6001,-73.9662,73.4,52,75,8.05,broken clouds
44,Cozumel,MX,20.5083,-86.9458,82.4,78,40,11.5,scattered clouds
45,Jamestown,US,42.097,-79.2353,71.6,28,1,12.66,clear sky
46,Kenai,US,60.5544,-151.2583,24.8,38,1,12.66,clear sky
47,Ikorodu,NG,6.6191,3.5041,75.2,94,20,3.44,few clouds
48,Cap-Aux-Meules,CA,47.3821,-61.8597,32.0,74,26,14.97,scattered clouds
49,Avarua,CK,-21.2078,-159.775,82.4,74,20,10.36,few clouds
50,Kodiak,US,57.79,-152.4072,35.6,64,90,10.36,overcast clouds
51,Sakaraha,MG,-22.9,44.5333,67.59,71,0,0.98,clear sky
52,Avanigadda,IN,16.0215,80.9181,77.86,85,2,3.69,clear sky
53,Hobart,AU,-42.8794,147.3294,48.99,81,75,14.97,light rain
54,Upington,ZA,-28.4478,21.2561,71.6,43,0,8.05,clear sky
55,Asau,RO,46.4333,26.4,37.99,47,1,3.15,light rain
56,Mataura,NZ,-46.1927,168.8643,60.01,87,69,10.0,light rain
57,Ixtapa,MX,20.7,-105.2,80.01,73,20,14.97,few clouds
58,Clyde River,CA,70.4692,-68.5914,32.0,55,90,17.27,overcast clouds
59,Tautira,PF,-17.7333,-149.15,87.8,62,40,16.11,light rain
60,San Jose,US,37.3394,-121.895,73.0,48,75,13.8,broken clouds
61,Bredasdorp,ZA,-34.5322,20.0403,53.6,100,100,0.67,overcast clouds
62,Saint-Francois,FR,46.4154,3.9054,51.8,71,0,6.91,clear sky
63,Nikolskoye,RU,59.7035,30.7861,36.0,74,0,4.47,clear sky
64,Atuona,PF,-9.8,-139.0333,81.32,69,72,16.62,broken clouds
65,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,4.61,clear sky
66,Quelimane,MZ,-17.8786,36.8883,75.2,88,75,3.44,light rain
