City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mount Pleasant,US,2021-04-10 23:26:30,32.7941,-79.8626,71.01,94,40,5.75
1,Viedma,AR,2021-04-10 23:26:31,-40.8135,-62.9967,60.03,59,97,4.81
2,Erzin,TR,2021-04-10 23:26:31,36.9559,36.2,46.99,86,100,5.99
3,Banjar,ID,2021-04-10 23:26:31,-8.19,114.9675,78.8,89,20,4.61
4,Albany,US,2021-04-10 23:21:45,42.6001,-73.9662,71.01,47,35,4.43
5,Yellowknife,CA,2021-04-10 23:24:34,62.456,-114.3525,10.99,48,20,9.22
6,Ewa Beach,US,2021-04-10 23:26:32,21.3156,-158.0072,78.8,53,75,11.5
7,Togur,RU,2021-04-10 23:26:32,58.3631,82.8265,33.51,92,95,4.43
8,Dikson,RU,2021-04-10 23:25:16,73.5069,80.5464,18.84,90,92,22.48
9,Rikitea,PF,2021-04-10 23:24:25,-23.1203,-134.9692,78.96,71,0,9.33
10,Bluff,NZ,2021-04-10 23:24:53,-46.6,168.3333,61.0,86,85,8.99
11,Morgan City,US,2021-04-10 23:26:32,29.6994,-91.2068,71.6,83,90,6.91
12,Edd,ER,2021-04-10 23:26:33,13.9297,41.6925,80.28,81,3,6.51
13,Voh,NC,2021-04-10 23:26:33,-20.9667,164.7,77.52,88,100,3.83
14,Avarua,CK,2021-04-10 23:25:23,-21.2078,-159.775,82.4,78,20,9.22
15,Castro,BR,2021-04-10 23:24:34,-24.7911,-50.0119,61.88,63,0,2.86
16,Kidal,ML,2021-04-10 23:26:34,18.4411,1.4078,86.7,9,0,8.37
17,Vaini,TO,2021-04-10 23:24:28,-21.2,-175.2,80.6,74,20,9.22
18,Fairview,US,2021-04-10 23:26:34,40.8126,-73.999,66.0,67,1,4.61
19,Tiksi,RU,2021-04-10 23:26:25,71.6872,128.8694,-8.66,93,41,5.59
20,Aljezur,PT,2021-04-10 23:26:34,37.3191,-8.8033,57.88,95,8,7.81
21,Kenora,CA,2021-04-10 23:26:35,49.8167,-94.4337,51.8,46,75,8.05
22,Harper,LR,2021-04-10 23:26:35,4.375,-7.7169,80.58,82,99,7.31
23,Atuona,PF,2021-04-10 23:24:39,-9.8,-139.0333,80.98,71,66,16.35
24,Najran,SA,2021-04-10 23:26:35,17.4924,44.1277,73.4,18,0,3.62
25,Maroantsetra,MG,2021-04-10 23:26:36,-15.4333,49.7333,74.77,90,100,1.16
26,Kavieng,PG,2021-04-10 23:24:20,-2.5744,150.7967,81.99,74,100,7.38
27,Komsomolskiy,UZ,2021-04-10 23:25:28,40.4272,71.7189,55.4,41,1,9.22
28,Mar Del Plata,AR,2021-04-10 23:24:32,-38.0023,-57.5575,66.99,88,90,21.85
29,Port Blair,IN,2021-04-10 23:26:36,11.6667,92.75,81.1,77,80,3.78
30,Havre-Saint-Pierre,CA,2021-04-10 23:26:37,50.2334,-63.5986,37.4,52,75,14.97
31,Busselton,AU,2021-04-10 23:24:56,-33.65,115.3333,59.0,89,100,13.47
32,Punta Arenas,CL,2021-04-10 23:24:30,-53.15,-70.9167,48.2,71,40,16.11
33,Mehamn,NO,2021-04-10 23:25:52,71.0357,27.8492,28.35,59,54,17.76
34,Itai,BR,2021-04-10 23:26:37,-23.4178,-49.0906,67.14,58,0,2.33
35,Mount Isa,AU,2021-04-10 23:24:28,-20.7333,139.5,75.2,38,20,16.11
36,Te Anau,NZ,2021-04-10 23:26:09,-45.4167,167.7167,55.92,94,100,3.49
37,Prince Rupert,CA,2021-04-10 23:26:33,54.3161,-130.3201,41.0,93,90,8.05
